temp_difference,machine_power,wear_strain,tool_wear_min,quality,machine_failure
8.900000000000034,49816.8,3213.0,105,H,0
11.100000000000023,46846.899999999994,0.0,0,L,0
9.0,76292.3,4445.7,87,L,0
10.899999999999977,68827.3,7975.3,173,L,0
10.900000000000034,56709.4,830.4000000000001,24,L,0
10.199999999999989,73150.0,9522.800000000001,179,L,0
10.699999999999989,50995.0,1271.0,41,H,0
10.300000000000011,62231.4,6061.5,135,L,0
9.699999999999989,67602.6,5297.400000000001,109,L,0
9.0,56482.799999999996,3121.7999999999997,86,L,0
9.199999999999989,70066.0,8798.0,166,L,0
10.599999999999966,69083.0,1143.1000000000001,23,M,0
10.899999999999977,56388.0,5981.7,157,M,0
10.100000000000023,38319.4,1010.0,50,M,0
8.0,61530.799999999996,4815.799999999999,121,M,0
8.699999999999989,48021.200000000004,6314.3,233,L,0
9.699999999999989,56929.6,6844.799999999999,186,H,0
10.5,50327.0,3156.5,107,L,0
9.100000000000023,72375.3,9717.300000000001,183,L,0
9.400000000000034,72074.4,7736.8,152,M,0
11.099999999999966,59885.799999999996,5077.799999999999,126,L,0
9.5,61767.299999999996,4872.9,111,H,0
7.7000000000000455,74161.4,7374.299999999999,141,L,0
11.199999999999989,68153.7,8713.5,185,L,0
11.399999999999977,79135.0,1963.5,33,L,0
7.899999999999977,55407.0,5382.0,156,H,0
9.899999999999977,53707.2,2538.4,76,L,0
7.699999999999989,53405.5,2745.0,90,M,0
11.600000000000023,56240.0,5439.0,147,M,0
9.699999999999989,74360.0,9952.800000000001,174,L,0
8.5,72227.09999999999,1985.1,39,M,0
10.799999999999955,77666.40000000001,4747.2,86,L,0
9.799999999999955,50307.4,5033.6,176,M,0
9.199999999999989,60598.0,3567.0,87,M,0
11.100000000000023,62156.49999999999,3510.4999999999995,85,L,0
9.100000000000023,76476.1,8744.9,157,L,0
9.300000000000011,65798.7,6452.7,137,M,0
11.0,54074.6,6212.4,186,L,0
9.300000000000011,64480.5,5028.5,113,M,0
9.599999999999966,51834.600000000006,2714.2000000000003,82,L,0
11.600000000000023,57292.799999999996,4476.0,120,L,0
9.0,58032.0,5688.0,158,L,0
8.599999999999966,66998.7,2021.3,41,L,1
9.399999999999977,62928.0,414.0,10,M,0
11.199999999999989,56591.4,4917.8,134,L,0
9.699999999999989,57081.0,789.8,22,M,0
8.0,62909.0,8127.0,189,L,0
9.300000000000011,43506.4,618.8000000000001,26,L,0
10.900000000000034,79439.3,4729.2,84,L,0
11.100000000000023,71081.40000000001,9379.5,185,M,0
9.800000000000011,66620.40000000001,231.0,5,L,0
9.5,59946.00000000001,2307.2000000000003,56,M,0
11.399999999999977,53424.0,168.0,5,L,0
8.600000000000023,63525.6,5553.9,121,L,0
11.5,48098.399999999994,676.1999999999999,23,H,0
9.699999999999989,59192.700000000004,7185.700000000001,181,H,0
10.300000000000011,66127.2,4203.0,90,L,0
10.900000000000034,61511.600000000006,1771.6000000000001,43,L,0
11.199999999999989,56988.8,8448.0,240,L,0
9.699999999999989,67051.2,8427.199999999999,184,L,0
11.100000000000023,68712.3,2395.2,48,L,0
8.900000000000034,70765.8,8217.0,165,M,0
12.0,59980.700000000004,7389.200000000001,196,L,0
10.099999999999966,64262.100000000006,1838.9,37,M,0
9.600000000000023,47800.6,3554.7,123,L,0
11.700000000000045,71693.8,9994.0,190,L,0
11.099999999999966,52544.8,3418.8,111,L,0
11.199999999999989,59923.8,575.4,14,L,0
9.599999999999966,82972.8,9828.9,163,L,0
11.599999999999966,54567.5,4818.0,132,M,0
11.399999999999977,47642.4,3182.4,102,M,0
9.700000000000045,52729.0,4288.0,128,M,0
11.200000000000045,58245.8,4199.200000000001,116,L,0
9.5,66810.8,4504.6,101,L,0
11.200000000000045,57812.799999999996,2870.3999999999996,78,L,0
11.099999999999966,68735.0,2516.4,54,M,0
9.099999999999966,69545.2,8331.199999999999,164,L,0
11.199999999999989,49564.9,1234.1,43,L,0
9.699999999999989,65888.9,946.0,20,L,0
8.200000000000045,72300.0,8150.0,163,M,0
11.199999999999989,51679.2,2294.5,65,L,0
10.5,38910.8,551.8000000000001,31,L,0
9.399999999999977,46384.5,1173.0,46,M,0
11.0,70481.6,5009.6,101,L,0
9.199999999999989,64558.799999999996,1679.8,37,M,0
11.100000000000023,63523.6,8009.9,173,L,0
7.800000000000011,77571.0,3217.5,55,L,1
9.599999999999966,69360.0,3504.0,73,M,0
9.699999999999989,66595.0,9357.5,197,M,0
8.699999999999989,52812.0,7225.2,223,M,0
9.199999999999989,54719.1,7198.9,193,H,0
10.699999999999989,54648.0,2124.0,59,L,0
9.599999999999966,70536.6,1104.6000000000001,21,L,0
9.699999999999989,45916.0,2496.0,96,M,0
9.599999999999966,54104.399999999994,5322.3,157,L,0
11.399999999999977,49737.1,1435.0,50,L,0
10.800000000000011,53721.3,3607.9,109,L,0
9.300000000000011,65685.0,2001.0,46,L,0
9.5,78659.0,4224.5,71,L,0
11.199999999999989,84433.5,4270.2,66,L,0
8.899999999999977,51639.299999999996,7132.5,225,M,0
10.699999999999989,66270.0,8977.0,191,L,0
9.800000000000011,59389.5,8261.1,201,L,0
11.299999999999955,63960.4,560.3000000000001,13,L,0
7.800000000000011,61284.299999999996,7845.299999999999,207,L,0
8.5,60828.0,3774.0,85,L,1
10.100000000000023,66264.0,4268.0,97,M,0
10.300000000000011,54635.99999999999,6089.999999999999,175,L,0
10.799999999999955,67776.90000000001,7017.900000000001,149,H,0
9.300000000000011,55004.3,1508.0,40,M,0
10.0,48347.200000000004,455.6,17,M,0
9.5,60648.0,126.0,3,M,0
11.199999999999989,51861.4,4257.8,122,L,0
9.900000000000034,58598.99999999999,880.9,23,L,0
10.800000000000011,56376.899999999994,5660.999999999999,170,M,0
11.399999999999977,62392.200000000004,631.5,15,L,0
10.699999999999989,39939.899999999994,1546.6,74,L,0
9.5,54370.5,5159.0,154,H,0
10.199999999999989,47344.0,5191.7,193,L,0
11.5,57642.0,5967.0,153,L,0
9.800000000000011,51825.200000000004,1593.6000000000001,48,L,0
11.300000000000011,67328.2,8716.8,192,H,0
9.5,72217.0,8069.8,157,L,0
9.199999999999989,47112.0,4197.8,139,L,0
11.100000000000023,34138.4,1139.8,82,M,0
11.399999999999977,56141.200000000004,4734.8,133,M,0
10.0,70725.2,5299.7,113,M,0
9.0,55752.0,1587.0,46,L,0
11.199999999999989,49747.5,1366.2,46,L,0
11.100000000000023,52896.5,3048.5,91,H,0
11.0,51359.00000000001,933.8000000000001,29,M,0
9.199999999999989,64050.0,84.0,2,M,0
8.300000000000011,57342.7,0.0,0,L,0
9.300000000000011,46509.4,5031.8,181,L,0
8.699999999999989,59251.0,4130.2,107,L,0
9.699999999999989,54218.399999999994,4001.9999999999995,115,L,0
10.899999999999977,52025.5,67.0,2,L,0
9.199999999999989,51712.0,6368.0,199,L,0
9.200000000000045,71150.40000000001,4665.6,96,M,0
10.0,48187.299999999996,5194.7,181,M,0
12.0,68395.8,10363.0,215,H,0
10.899999999999977,70470.0,8195.4,157,M,0
9.899999999999977,81849.5,9570.9,183,L,0
10.899999999999977,60793.2,1428.8999999999999,33,M,0
11.399999999999977,67207.5,6960.0,160,L,0
9.5,57013.0,497.0,14,L,0
9.400000000000034,52414.399999999994,2591.2,79,L,0
7.900000000000034,53645.2,0.0,0,L,0
8.800000000000011,52403.5,839.7,27,L,0
10.0,57976.8,2273.6000000000004,58,H,0
